Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gain,CMP,Market_Profit,SME
2018-01-29,Newgen Software,424.62,15.62,5.52,5.18,245,256.0,253.0,4.489795918,553.25,Yes,No
2018-01-22,Apollo Micro Sy,156.0,101.93,958.07,40.19,275,478.0,454.1,73.81818182,122.5,No,No
2017-12-29,Astron Paper & ,70.0,103.35,396.99,77.93,50,120.75,119.7,141.5,44.55,No,No
2017-12-18,Future Supply,649.69,12.36,11.15,3.28,664,674.0,685.8,1.506024096,65.8,No,No
2017-12-15,Shalby ,504.8,4.34,0.42,2.98,248,237.0,239.25,-4.435483871,135.05,No,No
2017-11-17,HDFC Life,8695.01,16.6,2.29,0.9,290,313.0,344.25,7.931034483,590.85,Yes,Yes
2017-11-14,Khadim India,493.06,2.45,0.18,2.34,750,727.0,688.5,-3.066666667,259.55,No,No
2017-11-10,Mahindra Logist,829.36,15.61,2.07,6.11,429,425.0,429.15,-0.932400932,421.8,No,No
2017-11-06,Nippon,1542.0,118.41,209.44,5.23,252,289.0,284.0,14.68253968,313.4,Yes,No
2017-10-25,General Insuran,11372.0,2.25,0.22,0.63,912,870.4,435.2,-4.561403509,129.05,No,Yes
2017-10-23,IEX,1000.7,2.56,0.85,2.61,1650,1500.0,54.22,-9.090909091,217.5,No,No
2017-10-16,Godrej Agrovet,1157.31,150.96,236.04,7.67,460,615.0,595.55,33.69565217,489.5,Yes,No
2017-10-05,Prataap Snacks ,481.94,76.89,101.15,7.62,938,1250.0,1178.3,33.26226013,743.5,No,No
2017-09-25,Capacite Infra,400.0,131.32,638.05,17.57,250,360.0,342.4,44.0,139.25,No,No
2017-09-21,Matrimony.com,501.07,1.88,0.41,18.16,985,985.0,901.2,0.0,758.0,No,No
2017-09-18,Bharat Road Net,600.65,1.33,1.63,5.16,205,205.0,208.15,0.0,38.9,No,No
2017-09-04,Apex Frozen,152.25,1.91,7.82,8.53,175,202.0,209.85,15.42857143,291.75,Yes,No
2017-08-11,Cochin Shipyard,1454.0,63.51,288.87,8.12,432,461.0,522.0,6.712962963,313.2,No,No
2017-08-10,SIS,362.25,5.64,1.65,18.67,815,875.0,378.35,7.36196319,502.05,No,No
2017-07-04,GTPL Hathway,484.8,1.48,2.48,0.99,170,170.0,171.65,0.0,210.95,Yes,No
2017-06-29,Eris Life,1741.1,4.68,0.45,3.51,603,612.0,601.05,1.492537313,709.75,Yes,No
2017-06-27,Tejas Networks,326.69,2.16,0.48,3.1,257,257.7,263.3,0.272373541,445.0,Yes,No
2017-06-06,IndiGrid InvIT ,2250.0,1.14,1.6,0.0,100,99.7,95.08,-0.3,150.03,Yes,Yes
2017-05-29,PSP Projects,211.68,8.38,10.39,6.47,210,195.0,208.95,-7.142857143,536.15,Yes,No
2017-05-19,HUDCO,1224.0,55.45,330.36,10.79,58,76.5,72.5,31.89655172,36.1,No,No
2017-05-09,S Chand and Co,325.0,44.27,204.65,6.07,670,675.85,675.85,0.873134328,109.2,No,No
2017-04-05,Shankara Buildi,232.96,51.62,90.68,15.35,460,545.0,632.8,18.47826087,707.6,Yes,No
2017-03-31,CL Educate,238.95,3.65,0.21,1.63,500,398.0,208.95,-20.4,125.05,No,No
2017-03-17,Music Broadcast,488.53,39.78,109.13,9.85,333,413.0,59.7,24.02402402,24.0,No,No
2016-12-19,Laurus Labs,560.7,10.54,3.57,1.58,428,489.9,96.1,14.46261682,551.9,Yes,No
2016-11-08,Varun Beverages,1114.0,4.94,0.42,0.82,445,430.0,205.29,-3.370786517,952.7,Yes,No
2016-11-07,PNB Housing Fin,3000.0,37.33,86.17,1.32,775,860.0,890.6,10.96774194,450.05,No,Yes
2016-10-04,HPL Electric & ,361.0,5.77,22.2,3.31,202,190.0,189.05,-5.940594059,67.65,No,No
2016-09-29,ICICI Prudentia,6057.0,11.83,28.55,1.42,334,329.0,297.65,-1.497005988,525.15,Yes,Yes
2016-09-27,GNA Axles,130.41,17.18,217.47,11.84,207,252.0,233.45,21.73913043,506.9,Yes,No
2016-08-31,RBL Bank,1100.0,85.08,198.06,5.7,225,274.4,299.3,21.95555556,140.0,No,No
2016-08-12,S P Apparels,215.0,1.0,0.45,0.54,268,275.0,295.0,2.611940299,415.25,Yes,No
2016-08-11,Dilip Buildcon,430.0,0.0,0.0,0.0,219,240.0,251.95,9.589041096,294.15,Yes,No
2016-08-01,Advanced Enzyme,60.0,94.03,393.1,11.67,896,1210.0,235.66,35.04464286,297.0,No,No
2016-07-12,Quess Corp,400.0,59.02,392.21,31.23,317,500.0,503.0,57.72870662,650.2,Yes,No
2016-07-01,Mahanagar Gas,1039.64,72.84,191.61,6.82,421,540.0,519.9,28.26603325,768.7,Yes,No
2016-05-19,Parag Milk Food,764.3,1.15,3.08,2.12,215,230.0,247.8,6.976744186,105.6,No,No
2016-05-10,Ujjivan Fi0ci,358.16,33.84,135.45,4.02,210,231.9,231.6,10.42857143,113.3,No,No
2016-05-09,Thyrocare Techn,479.21,73.18,225.3,8.73,446,662.0,618.1,48.43049327,891.75,Yes,No
2016-04-21,Equitas Holding,2159.0,14.93,57.29,1.4,110,145.1,135.25,31.90909091,112.0,Yes,Yes
2016-04-01,Bharat Wire Rop,70.0,1.01,2.02,2.08,45,47.25,45.4,5.0,76.55,Yes,No
2016-02-18,Quick Heal Tech,450.0,4.34,36.69,3.82,321,305.0,254.45,-4.984423676,196.0,No,No
2016-02-08,Precision Camsh,410.0,2.62,0.73,2.01,186,165.0,177.25,-11.29032258,144.85,No,No
